,item_id,name,types
0,5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,"['gun', 'wearable']"
1,5447ac644bdc2d6c208b4567,5.56x45mm M855 ammo pack (30 pcs),['ammoBox']
2,5448ba0b4bdc2d02308b456c,Factory emergency exit key,['keys']
3,5448bd6b4bdc2dfc2f8b4569,Makarov PM 9x18PM pistol,"['gun', 'wearable']"
4,5448be9a4bdc2dfd2f8b456a,RGD-5 hand grenade,"['ammo', 'grenade']"
5,5448c12b4bdc2d02308b456f,PM 9x18PM 90-93 8-round magazine,['mods']
6,5448c1d04bdc2dff2f8b4569,5.56x45 Magpul PMAG 20 GEN M3 STANAG 20-round magazine,['mods']
7,5448fee04bdc2dbc018b4567,0.6 liter water bottle,['provisions']
8,5448ff904bdc2d6f028b456e,Army crackers,['provisions']
9,5449016a4bdc2d6f028b456f,Roubles,['noFlea']
10,544909bb4bdc2d6f028b4577,AN/PEQ-15 tactical device,['mods']
11,54490a4d4bdc2dbc018b4573,Глушитель Silencerco Sparrow 22 .22LR,"['disabled', 'mods']"
12,54491bb74bdc2d09088b4567,ER FULCRUM BAYONET,['wearable']
13,54491c4f4bdc2db1078b4568,MP-133 12ga pump-action shotgun,"['gun', 'wearable']"
14,544a11ac4bdc2d470e8b456a,Secure container Alpha,['noFlea']
15,544a378f4bdc2d30388b4567,5.56x45 Magpul PMAG 40 GEN M3 STANAG 40-round magazine,['mods']
16,544a37c44bdc2d25388b4567,5.56x45 SureFire MAG5-60 STANAG 60-round magazine,"['mods', 'noFlea']"
17,544a38634bdc2d58388b4568,AR-15 Colt USGI A2 5.56x45 flash hider,['mods']
18,544a3a774bdc2d3a388b4567,Leupold Mark 4 HAMR 4x24mm DeltaPoint hybrid assault scope,['mods']
19,544a3d0a4bdc2d1b388b4567,Оптический прицел Nightforce NXS 2.5-10x24,"['disabled', 'mods']"
20,544a3f024bdc2d1d388b4568,Оптический прицел ELCAN Specter OS4x,"['disabled', 'mods']"
21,544a5caa4bdc2d1a388b4568,Crye Precision AVS plate carrier,"['armor', 'noFlea', 'rig', 'wearable']"
22,544a5cde4bdc2d39388b456b,Flyye MBSS backpack,"['backpack', 'wearable']"
23,544fb25a4bdc2dfb738b4567,Aseptic bandage,['provisions']
24,544fb3364bdc2d34748b456a,Immobilizing splint,['provisions']
25,544fb37f4bdc2dee738b4567,Analgin painkillers,['provisions']
26,544fb3f34bdc2d03748b456a,Morphine injector,['provisions']
27,544fb45d4bdc2dee738b4568,Salewa first aid kit,['provisions']
28,544fb5454bdc2df8738b456a,Leatherman Multitool,['barter']
29,544fb62a4bdc2dfb738b4568,Pack of Russian Army pineapple juice,['provisions']
30,544fb6cc4bdc2d34748b456e,Slickers chocolate bar,['provisions']
31,54527a984bdc2d4e668b4567,5.56x45mm M855,['ammo']
32,54527ac44bdc2d36668b4567,5.56x45mm M855A1,"['ammo', 'noFlea']"
33,545cdae64bdc2d39198b4568,Camelbak Tri-Zip assault backpack,"['backpack', 'wearable']"
34,545cdb794bdc2d3a198b456a,6B43 6A Zabralo-Sh body armor,"['armor', 'noFlea', 'wearable']"
35,557ff21e4bdc2d89578b4586,Tactical glasses,"['glasses', 'wearable']"
36,5580169d4bdc2d9d138b4585,MP-43-1C 12ga 510mm barrel,['mods']
37,55801eed4bdc2d89578b4588,SV-98 7.62x54R bolt-action sniper rifle,"['gun', 'wearable']"
38,5580223e4bdc2d1c128b457f,MP-43-1C 12ga double-barrel shotgun,['gun']
39,558022b54bdc2dac148b458d,EOTech EXPS3 holographic sight (Tan),['mods']
40,5580239d4bdc2de7118b4583,Компенсатор ГК-00,"['disabled', 'mods']"
41,55802d5f4bdc2dac148b458e,5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine,['mods']
42,55802f5d4bdc2dac148b458f,AR-15 Magpul MOE pistol grip (Black),"['mods', 'pistolGrip']"
43,558032614bdc2de7118b4585,TangoDown Stubby BGV-MK46K foregrip (Black),['mods']
44,559ba5b34bdc2d1f1a8b4582,SV-98 7.62x54R polymer 10-round magazine,['mods']
45,55d355e64bdc2d962f8b4569,M4A1 5.56x45 upper receiver,['mods']
46,55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,['mods']
47,55d3632e4bdc2d972f8b4569,AR-15 5.56x45 370mm barrel,['mods']
48,55d447bb4bdc2d892f8b456f,MP-43-1C 12ga 725mm barrel,['mods']
49,55d448594bdc2d8c2f8b4569,MP-133 12ga 610mm barrel,['mods']
50,55d4491a4bdc2d882f8b456e,MP-133 12ga 510mm barrel,['mods']
51,55d449444bdc2d962f8b456d,MP-133 12ga 610mm barrel with rib,['mods']
52,55d44fd14bdc2d962f8b456e,AR-15 Colt charging handle,['mods']
53,55d459824bdc2d892f8b4573,AR-15 KAC RIS handguard,['mods']
54,55d45d3f4bdc2d972f8b456c,MP-133 beechwood forestock,['mods']
55,55d45f484bdc2d972f8b456d,MP-133 custom plastic forestock with rails,['mods']
56,55d480c04bdc2d1d4e8b456a,AK-74 5.45x39 6L23 30-round magazine,['mods']
57,55d481904bdc2d8c2f8b456a,AK-74 5.45x39 6L26 45-round magazine,['mods']
58,55d482194bdc2d1d4e8b456b,AK-74 5.45x39 6L31 60-round magazine,['mods']
59,55d4837c4bdc2d1d4e8b456c,"AK-74 ""Saiga 545"" 5.45x39 10-round magazine",['mods']
60,55d484b44bdc2d1d4e8b456d,MP-133 12ga 6-shell magazine,['mods']
61,55d485804bdc2d8c2f8b456b,MP-133 12ga 8-shell magazine,['mods']
62,55d485be4bdc2d962f8b456f,PM 9x18PM 84-round makeshift drum magazine,['mods']
63,55d4887d4bdc2d962f8b4570,5.56x45 Colt AR-15 STANAG 30-round magazine,['mods']
64,55d48a634bdc2d8b2f8b456a,Kiba Arms SPRM rail mount for pump-action shotguns,['mods']
65,55d48ebc4bdc2d8c2f8b456c,Delta-Tek Sprut mount for pump-action shotguns,['mods']
66,55d4ae6c4bdc2d8b2f8b456e,High Standard M4SS Stock,['mods']
67,55d4af3a4bdc2d972f8b456f,AR-15 Leapers UTG Low Profile A2 front sight,['mods']
68,55d4b9964bdc2d1d4e8b456e,AR-15 Colt A2 pistol grip,"['mods', 'pistolGrip']"
69,55d5f46a4bdc2d1b198b4567,AR-15 Colt A2 rear sight,['mods']
70,55d614004bdc2d86028b4568,SureFire SOCOM556-MONSTER 5.56x45 sound suppressor,"['mods', 'suppressor']"
71,55d617094bdc2d89028b4568,Глушитель Knight's Armament Company KAC QDC Suppressor 6.5x35,"['disabled', 'mods']"
72,55d6190f4bdc2d87028b4567,SureFire SOCOM556-MINI MONSTER 5.56x45 sound suppressor,"['mods', 'suppressor']"
73,55f84c3c4bdc2d5f408b4576,AR-15 Daniel Defense RIS II 9.5 handguard (Coyote Brown),['mods']
74,560835c74bdc2dc8488b456f,MP-133 12ga 510mm barrel with rib,['mods']
75,560836484bdc2d20478b456e,MP-133 12ga 540mm barrel,['mods']
76,560836b64bdc2d57468b4567,MP-133 12ga 540mm barrel with rib,['mods']
77,560836fb4bdc2d773f8b4569,MP-133 12ga 660mm barrel,['mods']
78,560837154bdc2da74d8b4568,MP-133 12ga 660mm barrel with rib,['mods']
79,5608373c4bdc2dc8488b4570,MP-133 12ga 710mm barrel,['mods']
80,560837544bdc2de22e8b456e,MP-133 12ga 710mm barrel with rib,['mods']
81,560837824bdc2d57468b4568,MP-133 12ga 750mm barrel,['mods']
82,5608379a4bdc2d26448b4569,MP-133 12ga 750mm barrel with rib,['mods']
83,560838c94bdc2d77798b4569,Remington Tactical Choke 12ga,['mods']
84,56083a334bdc2dc8488b4571,MP-133/153 plastic pistol grip,"['mods', 'pistolGrip']"
85,56083be64bdc2d20478b456f,MP-133/153 plastic stock,['mods']
86,56083cba4bdc2de22e8b456f,MP-133/153 wooden stock,['mods']
87,56083e1b4bdc2dc8488b4572,SV-98 rear sight,['mods']
88,56083eab4bdc2d26448b456a,SV-98 anti-heat ribbon,['mods']
89,560d5e524bdc2d25448b4571,12/70 7mm buckshot,['ammo']
90,560d61e84bdc2da74d8b4571,7.62x54mm R SNB gzh,['ammo']
91,560d657b4bdc2da74d8b4572,Zenit Klesch-2P flashlight with laser,['mods']
92,560d75f54bdc2da74d8b4573,7.62x54mm R SNB gzh ammo pack (30 pcs),['ammoBox']
93,560e620e4bdc2d724b8b456b,SV-98 muzzle device,['mods']
94,5644bd2b4bdc2d3b4c8b4572,Kalashnikov AK-74N 5.45x39 assault rifle,"['gun', 'wearable']"
95,5645bc214bdc2d363b8b4571,FORT Kiver-M bulletproof helmet,"['helmet', 'wearable']"
96,5645bcc04bdc2d363b8b4572,Peltor ComTac 2 headset,"['headphones', 'wearable']"
97,5648a69d4bdc2ded0b8b457b,BlackRock chest rig,"['rig', 'wearable']"
98,5648a7494bdc2d9d488b4583,PACA Soft Armor,"['armor', 'wearable']"
99,5648ac824bdc2ded0b8b457d,AK Zenit RP-1 charging handle,['mods']
100,5648ae314bdc2d3d1c8b457f,AK CAA RS47 handguard,['mods']
101,5648b0744bdc2d363b8b4578,AK-74 wooden handguard (6P20 Sb.6),['mods']
102,5648b1504bdc2d9d488b4584,AK-74 polymer handguard (6P20 Sb.9),['mods']
103,5648b2414bdc2d3b4c8b4578,UltiMAK M1-B handguard for AK,"['disabled', 'mods']"
104,5648b4534bdc2d3d1c8b4580,AK Zenit B-10M handguard with B-19 upper mount,['mods']
105,5648b62b4bdc2d9d488b4585,ГП-34,['disabled']
106,5648b6ff4bdc2d3d1c8b4581,Tactica Tula 10000 mount,"['disabled', 'mods']"
107,5649a2464bdc2d91118b45a8,NcSTAR MPR45 Backup mount,['mods']
108,5649aa744bdc2ded0b8b457e,AK-74 5.45x39 muzzle brake-compensator (6P20 0-20),['mods']
109,5649ab884bdc2ded0b8b457f,AK Zenit DTK-1 7.62x39/5.45x39 muzzle brake-compensator,['mods']
110,5649ad3f4bdc2df8348b4585,AK bakelite pistol grip (6P1 Sb.8V),"['mods', 'pistolGrip']"
111,5649ade84bdc2d1b2b8b4587,AK polymer pistol grip (6P1 Sb.8),"['mods', 'pistolGrip']"
112,5649ae4a4bdc2d1b2b8b4588,AK Zenit RK-3 pistol grip,"['mods', 'pistolGrip']"
113,5649af094bdc2df8348b4586,AK-74 dust cover (6P20 0-1),['mods']
