price,timestamp,name,color
45000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
50000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
70000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
80000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
97000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
99999,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
100000,2021-12-14 08:20:25,TerraGroup Labs arsenal storage room key,gold
80000,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
85000,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
122222,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
129999,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
154420,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
250000,2021-12-14 08:33:37,TerraGroup Labs manager's office room key,gold
80000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
95555,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
99420,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
118000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
119999,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
120000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
134000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
139420,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
140000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
179999,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
180000,2021-12-14 09:21:49,TerraGroup Labs weapon testing area key,gold
777777,2021-12-14 09:50:16,TerraGroup Labs keycard (Yellow),gold
1000000,2021-12-14 09:50:16,TerraGroup Labs keycard (Yellow),gold
50000,2021-12-14 10:22:28,TerraGroup Labs arsenal storage room key,gold
79500,2021-12-14 10:35:20,TerraGroup Labs manager's office room key,gold
80000,2021-12-14 10:35:20,TerraGroup Labs manager's office room key,gold
